chain_id,pdb,uniprot,genes,location,function1,function2,species
684,5owu.A,Q06142,KAP95 YLR347C L8300.15,"Cytoplasm {ECO:0000269|PubMed:10684247, ECO:0000269|PubMed:9321403}. Nucleus {ECO:0000269|PubMed:9321403}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:10684247}.","Importin beta subunit that functions in nuclear protein import through association with the importin alpha subunit, which binds to the classical nuclear localization signal (cNLS) in cargo substrates (PubMed:7622450). Docking of the importin/substrate complex to the nuclear pore complex (NPC) is mediated by importin beta through binding to nucleoporin FxFG repeats and the complex is subsequently translocated through the pore by an energy requiring, Ran-dependent mechanism (PubMed:8521485). At the nucleoplasmic side of the NPC, GTP-Ran binds to importin beta and the three components separate, leading to release of the cargo (PubMed:15864302). Importin alpha and beta are re-exported from the nucleus to the cytoplasm where GTP hydrolysis releases Ran from importin beta. The directionality of nuclear import is thought to be conferred by an asymmetric distribution of the GTP- and GDP-bound forms of Ran between the cytoplasm and nucleus (PubMed:11423015). Mediates the nuclear import of histones H2A and H2B (PubMed:11309407). {ECO:0000269|PubMed:11309407, ECO:0000269|PubMed:15864302, ECO:0000269|PubMed:7622450, ECO:0000269|PubMed:8521485, ECO:0000305|PubMed:11423015}.",disordered domain specific binding [GO:0097718]; importin-alpha family protein binding [GO:0061676]; nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]; Ran guanyl-nucleotide exchange factor activity [GO:0005087],0
685,5pgm.A,P00950,GPM1 GPM YKL152C YKL607,"Cytoplasm {ECO:0000269|PubMed:14562095}. Mitochondrion outer membrane {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}; Peripheral membrane protein {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}; Cytoplasmic side {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.","Interconversion of 3- and 2-phosphoglycerate with 2,3-bisphosphoglycerate as the primer of the reaction. Can also Catalyzes the reaction of EC 5.4.2.4 (synthase), but with a reduced activity. {ECO:0000269|PubMed:1386023, ECO:0000269|PubMed:8240286}.","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]; phosphoglycerate mutase activity [GO:0004619]",0
686,5suq.A,Q07478,SUB2 YDL084W,Nucleus {ECO:0000269|PubMed:14562095}.,"ATP-binding RNA helicase component of the TREX complex involved in transcription elongation and required for the export of mRNA out of the nucleus. SUB2 plays also a role in pre-mRNA splicing and spliceosome assembly. May be involved in rDNA and telomeric silencing, and maintenance of genome integrity. {ECO:0000269|PubMed:10077188, ECO:0000269|PubMed:11156602, ECO:0000269|PubMed:11156603, ECO:0000269|PubMed:11156604, ECO:0000269|PubMed:11463828, ECO:0000269|PubMed:11675790, ECO:0000269|PubMed:11696331, ECO:0000269|PubMed:11979277, ECO:0000269|PubMed:12034490, ECO:0000269|PubMed:12093753, ECO:0000269|PubMed:12417727, ECO:0000269|PubMed:12871933, ECO:0000269|PubMed:15942929}.",ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723],0
687,5sva.n,P35189,TAF14 ANC1 CST10 SWP29 TAF30 TFG3 YPL129W,Nucleus.,"Functions as a component of the DNA-binding general transcription factor complex TFIID, the RNA polymerase II associated general transcription factor complex TFIIF, and the chromatin-remodeling complex SWI/SNF (PubMed:10788514, PubMed:12138208, PubMed:12516863, PubMed:9618449). Binding of TFIID to a promoter (with or without TATA element) is the initial step in preinitiation complex (PIC) formation (PubMed:10788514, PubMed:12138208, PubMed:12516863, PubMed:9618449). TFIID plays a key role in the regulation of gene expression by RNA polymerase II through different activities such as transcription activator interaction, core promoter recognition and selectivity, TFIIA and TFIIB interaction, chromatin modification (histone acetylation by TAF1), facilitation of DNA opening and initiation of transcription (PubMed:10788514, PubMed:12138208, PubMed:12516863, PubMed:9618449). TFIIF is essential for the initiation of transcription by RNA polymerase II (PubMed:10788514, PubMed:12138208, PubMed:12516863, PubMed:9618449). TFIIF functions include the recruitment of RNA polymerase II to the promoter bound DNA-TBP-TFIIB complex, decreasing the affinity of RNA polymerase II for non-specific DNA, allowing for the subsequent recruitment of TFIIE and TFIIH, and facilitating RNA polymerase II elongation (PubMed:10788514, PubMed:12138208, PubMed:12516863, PubMed:9618449). TAF14 acts as a chromatin reader that specifically recognizes and binds histones that are acylated (PubMed:26341557, PubMed:27089029). Recognizes and binds histone H3 acetylated or crotonylated at 'Lys-9' (H3K9ac and H3K9cr, respectively) (PubMed:26341557, PubMed:27089029). Component of the SWI/SNF complex, an ATP-dependent chromatin-remodeling complex, is required for the positive and negative regulation of gene expression of a large number of genes (PubMed:12672490). It changes chromatin structure by altering DNA-histone contacts within a nucleosome, leading eventually to a change in nucleosome position, thus facilitating or repressing binding of gene-specific transcription factors (PubMed:12672490). Component of the histone acetyltransferase NuA3 complex, that acetylates Lys-14 of histone H3. Recruitment of NuA3 to nucleosomes requires methylated histone H3 (PubMed:17157260). In conjunction with the FACT complex, NuA3 may be involved in transcriptional regulation (PubMed:17157260). {ECO:0000269|PubMed:10788514, ECO:0000269|PubMed:12138208, ECO:0000269|PubMed:12516863, ECO:0000269|PubMed:12672490, ECO:0000269|PubMed:17157260, ECO:0000269|PubMed:26341557, ECO:0000269|PubMed:27089029, ECO:0000269|PubMed:9618449}.","transcription factor activity, core RNA polymerase II binding [GO:0000991]",0
688,5t7h.A,P00044,CYC1 YJR048W J1653,Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}. Note=Loosely associated with the inner membrane. {ECO:0000250}.,"Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain.",electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872],0
689,5t94.A,P21827,SRM1 MTR1 PRP20 YGL097W,"Nucleus {ECO:0000269|PubMed:11523802, ECO:0000269|PubMed:16365162, ECO:0000269|PubMed:1666302, ECO:0000269|PubMed:1865879, ECO:0000269|PubMed:2022190}.","Guanine nucleotide exchange factor that promotes the exchange of GSP1/GSP2-bound GDP by GTP and controls RNA metabolism and transport. Involved in yeast pheromone response pathway and in mRNA metabolism. Involved in nuclear pore complex (NPC) assembly and required for mRNA and ribosome nuclear export. Binds chromatin and is involved NPC-mediated transcriptional control. {ECO:0000269|PubMed:11071906, ECO:0000269|PubMed:11142374, ECO:0000269|PubMed:11509570, ECO:0000269|PubMed:11589573, ECO:0000269|PubMed:12654904, ECO:0000269|PubMed:1398069, ECO:0000269|PubMed:16365162, ECO:0000269|PubMed:1666302, ECO:0000269|PubMed:1865879, ECO:0000269|PubMed:2277633, ECO:0000269|PubMed:2548085, ECO:0000269|PubMed:7679070, ECO:0000269|PubMed:8070652, ECO:0000269|PubMed:9971735}.",Ran guanyl-nucleotide exchange factor activity [GO:0005087],0
690,5tbw.P,P39516,RPS14B CRY2 YJL191W J0354,"Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus, nucleolus {ECO:0000269|PubMed:15590835}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:22096102). uS11 is involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (PubMed:15590835). {ECO:0000269|PubMed:15590835, ECO:0000305|PubMed:22096102}.",mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],0
691,5tre.a,Q03020,ISU1 NUA1 YPL135W,"Mitochondrion matrix {ECO:0000269|PubMed:10468587, ECO:0000269|PubMed:10588895, ECO:0000269|PubMed:15143178, ECO:0000269|PubMed:16823961}.","Scaffold protein for the de novo synthesis of iron-sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic [2Fe-2S] and [4Fe-4S] proteins. First, a [2Fe-2S] cluster is transiently assembled on the scaffold proteins ISU1 and ISU2. In a second step, the cluster is released from ISU1/ISU2, transferred to glutaredoxin GRX5, followed by the formation of mitochondrial [2Fe-2S] proteins, the synthesis of [4Fe-4S] clusters and their target-specific insertion into the recipient apoproteins. Cluster assembly on ISU1/ISU2 depends on the function of the cysteine desulfurase complex NFS1-ISD11, which serves as the sulfur donor for cluster synthesis, the iron-binding protein frataxin (YFH1) as the putative iron donor, and the electron transfer chain comprised of ferredoxin reductase ARH1 and ferredoxin YAH1, which receive their electrons from NADH. Fe-S cluster release from ISU1/ISU2 is achieved by interaction with the Hsp70 chaperone SSQ1, assisted by the DnaJ-like co-chaperone JAC1 and the nucleotide exchange factor MGE1. ISU1 is the major isoform in yeast, while ISU2 is not detectable in cells grown to stationary phase (PubMed:10588895, PubMed:12970193, PubMed:14741370, PubMed:15123690, PubMed:16341089, PubMed:16431909, PubMed:23615440, PubMed:25358379). {ECO:0000269|PubMed:10588895, ECO:0000269|PubMed:12970193, ECO:0000269|PubMed:14741370, ECO:0000269|PubMed:15123690, ECO:0000269|PubMed:16341089, ECO:0000269|PubMed:16431909, ECO:0000269|PubMed:23615440, ECO:0000269|PubMed:25358379}.","2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ferrous iron binding [GO:0008198]; iron-sulfur transferase activity [GO:0036455]",0
692,5txr.A,P09950,HEM1 CYD1 YDR232W YD9934.16,"Mitochondrion matrix {ECO:0000269|PubMed:3023841, ECO:0000269|PubMed:6381051}.","Catalyzes the synthesis of 5-aminolevulinate (ALA) from succinyl-CoA and glycine, the first and rate-limiting step in heme biosynthesis. {ECO:0000269|PubMed:6381051}.",5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170],0
693,5u1t.A,Q03018,ESP1 YGR098C,"Nucleus {ECO:0000269|PubMed:11149918}. Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:11149918}. Cytoplasm {ECO:0000269|PubMed:11149918}. Note=Accumulates in the nucleus in G2 and is mobilized onto the spindle pole bodies and spindle midzone at anaphase onset, where it persists into midanaphase. The association with MCD1 may be important for its nuclear targeting.","Caspase-like protease, which plays a central role in the chromosome segregation by cleaving the MCD1/SCC1 subunit of the cohesin complex at the onset of anaphase. During most of the cell cycle, it is inactivated by securin/PDS1 protein. It also promotes anaphase spindle elongation. A component of the FEAR (CDC14 early anaphase release) network which promotes CDC14 release from the nucleolus during early anaphase. Cleaves SLK19. {ECO:0000269|PubMed:10403247, ECO:0000269|PubMed:11149918, ECO:0000269|PubMed:11832211, ECO:0000269|PubMed:9635435}.",cysteine-type endopeptidase activity [GO:0004197],0
